Country,CountryCode,Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Burundi,108,Sub-Saharan Africa,  5 613,  5 759,  5 895,  6 020,  6 134,  6 239,  6 333,  6 420,  6 512,  6 624,  6 767,  6 947,  7 160,  7 401,  7 662,  7 934,  8 218,  8 515,  8 822,  9 138,  9 461,  9 790,  10 125,  10 466,  10 817,  11 179
Comoros,174,Sub-Saharan Africa,415,428,440,453,466,480,493,507,520,534,548,562,575,590,604,619,634,649,665,682,699,716,734,752,770,788
Djibouti,262,Sub-Saharan Africa,588,611,627,639,650,661,673,686,698,711,723,734,745,757,768,778,789,799,810,820,831,842,853,865,876,888
Eritrea,232,Sub-Saharan Africa,  3 139,  3 161,  3 161,  3 151,  3 148,  3 164,  3 203,  3 261,  3 337,  3 430,  3 535,  3 655,  3 789,  3 928,  4 065,  4 191,  4 304,  4 406,  4 501,  4 594,  4 690,  4 790,  4 892,  4 999,  5 110,  5 228
Ethiopia,231,Sub-Saharan Africa,  48 057,  49 785,  51 603,  53 478,  55 367,  57 237,  59 076,  60 893,  62 708,  64 550,  66 444,  68 393,  70 391,  72 432,  74 507,  76 608,  78 736,  80 892,  83 080,  85 302,  87 562,  89 859,  92 191,  94 558,  96 959,  99 391
Kenya,404,Sub-Saharan Africa,  23 446,  24 234,  25 030,  25 825,  26 608,  27 373,  28 116,  28 842,  29 565,  30 301,  31 066,  31 863,  32 692,  33 551,  34 437,  35 349,  36 286,  37 251,  38 244,  39 270,  40 328,  41 420,  42 543,  43 693,  44 864,  46 050
Madagascar,450,Sub-Saharan Africa,  11 546,  11 898,  12 264,  12 644,  13 040,  13 453,  13 883,  14 329,  14 790,  15 263,  15 745,  16 236,  16 736,  17 245,  17 763,  18 290,  18 826,  19 371,  19 927,  20 496,  21 080,  21 679,  22 294,  22 925,  23 572,  24 235
Malawi,454,Sub-Saharan Africa,  9 409,  9 604,  9 683,  9 698,  9 726,  9 823,  10 007,  10 260,  10 564,  10 883,  11 193,  11 492,  11 789,  12 090,  12 408,  12 748,  13 112,  13 498,  13 905,  14 329,  14 770,  15 227,  15 700,  16 190,  16 695,  17 215
Mauritius,480,Sub-Saharan Africa,  1 056,  1 068,  1 083,  1 099,  1 114,  1 129,  1 142,  1 154,  1 165,  1 176,  1 185,  1 194,  1 202,  1 209,  1 216,  1 222,  1 228,  1 233,  1 238,  1 243,  1 248,  1 253,  1 258,  1 264,  1 269,  1 273
Mayotte,175,Sub-Saharan Africa,95,100,106,112,117,123,129,134,140,145,150,156,161,167,172,178,184,190,196,203,209,215,221,227,234,240
Mozambique,508,Sub-Saharan Africa,  13 372,  13 720,  14 204,  14 776,  15 363,  15 913,  16 411,  16 873,  17 317,  17 774,  18 265,  18 792,  19 349,  19 928,  20 523,  21 127,  21 738,  22 360,  22 995,  23 648,  24 321,  25 017,  25 733,  26 467,  27 216,  27 978
Reunion,638,Sub-Saharan Africa,611,622,635,648,661,674,686,699,712,724,737,749,760,771,782,792,801,809,817,824,831,837,843,849,855,861
Rwanda,646,Sub-Saharan Africa,  7 260,  7 071,  6 713,  6 300,  5 996,  5 913,  6 098,  6 506,  7 047,  7 585,  8 022,  8 329,  8 539,  8 686,  8 829,  9 008,  9 231,  9 481,  9 750,  10 025,  10 294,  10 556,  10 817,  11 078,  11 342,  11 610
Seychelles,690,Sub-Saharan Africa,71,71,73,74,75,77,78,78,79,80,81,83,84,86,87,89,90,91,92,92,93,94,95,95,96,96
